ts_id,ds,prediction,lower_bound,upper_bound,value,anomaly_flag,abs_error
10_9454C3610D0A_E2288FCE3225_5,2023-04-27T04:30:22.000+0000,-2321.556,-53114.773,47551.086,1882,0,4203.5557
10_9454C3610D0A_E2288FCE3225_5,2023-04-27T03:31:14.000+0000,-2392.2146,-53427.74,49036.33,2021,0,4413.215
10_9454C3610D0A_E2288FCE3225_5,2023-04-27T03:00:23.000+0000,-2439.0981,-56821.75,49513.766,2113,0,4552.098
10_9454C3610D0A_E2288FCE3225_5,2023-04-27T02:31:14.000+0000,-2495.3884,-55872.918,53329.61,2202,0,4697.3887
10_9454C3610D0A_E2288FCE3225_5,2023-04-27T02:00:32.000+0000,-2570.472,-63328.586,49632.074,2379,0,4949.4717
10_9454C3610D0A_E2288FCE3225_5,2023-04-27T01:31:23.000+0000,-2656.9407,-60627.973,52518.215,2470,0,5126.9404
10_9454C3610D0A_E2288FCE3225_5,2023-04-27T01:01:18.000+0000,-2758.0593,-69167.19,56316.16,2685,0,5443.0596
10_9454C3610D0A_E2288FCE3225_5,2023-04-27T00:01:18.000+0000,-2963.3967,-65449.633,58622.242,3062,0,6025.3965
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T23:31:22.000+0000,-3046.74,-69026.86,62475.68,3159,0,6205.74
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T23:01:26.000+0000,-3104.6355,-69890.836,63383.562,3172,0,6276.6357
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T22:31:17.000+0000,-3131.789,-67207,64496.84,3618,0,6749.789
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T22:00:36.000+0000,-3127.0383,-69779.9,65868.64,3132,0,6259.038
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T21:31:18.000+0000,-3096.8345,-74431.055,64150.367,3166,0,6262.8345
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T21:01:33.000+0000,-3049.1821,-68150.22,59394.555,3338,0,6387.182
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T20:31:26.000+0000,-2994.046,-67593.305,61012.227,3227,0,6221.046
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T20:01:15.000+0000,-2941.4758,-68876.23,62316.605,3375,0,6316.4756
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T19:30:24.000+0000,-2896.7031,-63185.137,56930.863,3229,0,6125.703
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T19:01:15.000+0000,-2863.1206,-67131.67,59102.562,3252,0,6115.1206
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T18:31:35.000+0000,-2832.4685,-69567.8,58887.39,3296,0,6128.4688
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T18:00:15.000+0000,-2793.2898,-65059.14,56150.402,3352,0,6145.29
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T17:31:26.000+0000,-2739.3394,-62422.777,61275.062,3137,0,5876.3394
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T17:01:26.000+0000,-2653.8118,-56555.637,49845.45,3148,0,5801.8115
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T16:31:30.000+0000,-2531.4258,-57904.918,54408.5,3015,0,5546.426
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T16:00:21.000+0000,-2363.7092,-57496.066,46007.434,2971,0,5334.709
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T14:00:24.000+0000,-1547.0791,-34993.32,33652.203,2979,0,4526.079
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T13:31:20.000+0000,-1388.2162,-31420.352,27858.576,2553,0,3941.2163
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T13:01:12.000+0000,-1267.3606,-28724.139,25474.541,1867,0,3134.3606
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T12:31:30.000+0000,-1196.0198,-27191.447,24151.627,1755,0,2951.0198
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T12:01:22.000+0000,-1169.1697,-26667.348,23511.363,1747,0,2916.1697
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T11:31:29.000+0000,-1178.968,-26791.275,23768.793,1862,0,3040.968
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T11:01:18.000+0000,-1213.001,-27539.553,24580.014,1942,0,3155.001
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T10:31:34.000+0000,-1257.0729,-28507.434,25352.55,2000,0,3257.0728
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T10:01:31.000+0000,-1300.874,-29640.197,26265.682,2044,0,3344.874
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T09:31:28.000+0000,-1336.3855,-30350.818,26863.398,2057,0,3393.3855
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T09:00:29.000+0000,-1361.2815,-31108.205,27424.406,2075,0,3436.2815
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T08:31:35.000+0000,-1375.0812,-31203.402,27811.717,2091,0,3466.081
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T08:01:18.000+0000,-1383.9664,-31334.627,27871.809,2120,0,3503.9663
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T07:31:21.000+0000,-1392.2815,-31676.602,28129.31,2164,0,3556.2815
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T06:31:14.000+0000,-1423.3455,-31545.49,30975.332,2210,0,3633.3455
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T06:01:17.000+0000,-1448.6501,-32258.43,31832.975,2253,0,3701.6501
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T05:30:29.000+0000,-1479.9539,-34700.254,27767.027,2302,0,3781.9539
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T05:02:06.000+0000,-1511.5803,-34222.19,29664.535,2377,0,3888.5803
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T04:01:20.000+0000,-1584.2732,-34555.34,34339.848,2540,0,4124.2734
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T03:31:35.000+0000,-1624.8983,-39182.06,33827.05,2621,0,4245.8984
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T03:01:17.000+0000,-1674.3555,-40583.42,34905.926,2694,0,4368.3555
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T02:31:31.000+0000,-1735.0114,-41912.484,35774.12,2706,0,4441.011
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T02:00:38.000+0000,-1813.6296,-42221.723,39315.586,2740,0,4553.63
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T01:30:27.000+0000,-1906.0404,-44101.086,41120.35,2959,0,4865.0405
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T01:01:31.000+0000,-2005.7821,-46974.633,43532.848,3171,0,5176.782
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T00:31:31.000+0000,-2113.9028,-48961.48,42212.414,3296,0,5409.903
10_9454C3610D0A_E2288FCE3225_5,2023-04-26T00:01:30.000+0000,-2217.4702,-51501.67,45067.74,3363,0,5580.47
10_9454C3610D0A_E2288FCE3225_5,2023-04-25T23:30:28.000+0000,-2308.8865,-52401.926,43811.836,3328,0,5636.8867
10_9454C3610D0A_E2288FCE3225_5,2023-04-25T23:01:30.000+0000,-2371.546,-56427.855,49130.145,3415,0,5786.546
10_9454C3610D0A_E2288FCE3225_5,2023-04-25T22:31:29.000+0000,-2408.4092,-52370.863,53119.824,3747,0,6155.409
10_9454C3610D0A_E2288FCE3225_5,2023-04-25T21:30:21.000+0000,-2399.141,-53008.81,51438.023,3508,0,5907.141
10_9454C3610D0A_E2288FCE3225_5,2023-04-25T21:00:23.000+0000,-2366.4202,-57308.598,49380.72,3457,0,5823.42
10_9454C3610D0A_E2288FCE3225_5,2023-04-25T20:01:33.000+0000,-2293.4092,-55286.33,47603.566,3375,0,5668.409
10_9454C3610D0A_E2288FCE3225_5,2023-04-25T19:30:22.000+0000,-2264.6904,-49474.395,46197.535,3324,0,5588.6904
10_9454C3610D0A_E2288FCE3225_5,2023-04-25T19:00:21.000+0000,-2245.6604,-49036.805,45953.445,3279,0,5524.66
10_9454C3610D0A_E2288FCE3225_5,2023-04-25T18:31:18.000+0000,-2230.4385,-48732.613,45679.617,3299,0,5529.4385
10_9454C3610D0A_E2288FCE3225_5,2023-04-25T17:31:26.000+0000,-2170.248,-47216.117,44277.414,3240,0,5410.248
10_9454C3610D0A_E2288FCE3225_5,2023-04-25T17:00:31.000+0000,-2101.1294,-45938.3,42970.79,3137,0,5238.1294
10_9454C3610D0A_E2288FCE3225_5,2023-04-25T16:30:37.000+0000,-1999.1548,-43525.46,41103.92,2908,0,4907.155
10_9454C3610D0A_E2288FCE3225_5,2023-04-25T16:00:32.000+0000,-1860.8237,-40889.688,38327.562,2749,0,4609.8237
10_9454C3610D0A_E2288FCE3225_5,2023-04-25T15:31:24.000+0000,-1698.3123,-37173.742,34795.78,2478,0,4176.3125
10_9454C3610D0A_E2288FCE3225_5,2023-04-25T15:01:18.000+0000,-1512.6957,-32931.34,30845.049,2319,0,3831.6958
10_9454C3610D0A_E2288FCE3225_5,2023-04-25T14:31:18.000+0000,-1325.7404,-29063.434,26992.299,2239,0,3564.7402
10_9454C3610D0A_E2288FCE3225_5,2023-04-25T14:01:40.000+0000,-1156.0016,-25241.975,23798.049,1927,0,3083.0015
10_9454C3610D0A_E2288FCE3225_5,2023-04-25T13:32:06.000+0000,-1016.0855,-22154.443,20634.45,1827,0,2843.0854
10_9454C3610D0A_E2288FCE3225_5,2023-04-25T13:00:18.000+0000,-909.8038,-19954.197,18614.828,1756,0,2665.8037
10_9454C3610D0A_E2288FCE3225_5,2023-04-25T12:30:31.000+0000,-855.8225,-18740.816,17344.94,1707,0,2562.8225
10_9454C3610D0A_E2288FCE3225_5,2023-04-25T12:00:29.000+0000,-843.09375,-18482.46,17378.445,1674,0,2517.0938
10_9454C3610D0A_E2288FCE3225_5,2023-04-25T11:00:34.000+0000,-905.73126,-19903.643,18550.447,1658,0,2563.7312
